timestamp,MQ3,MQ135,MQ8,MQ5,MQ7,MQ4,MQ6,MQ2,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity
2024-09-16 15:52:58,518,829,767,366,941,748,684,700,727,35.92,85394.29,37.00,58.00
2024-09-16 14:49:29,709,889,866,410,944,824,733,680,711,36.34,82718.50,38.00,63.00
