MQ135,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9
268.21143341064453,421.4245071411133,666.3220138549805,475.8525581359863,465.72655487060547,347.60742950439453,92.35047149658203,379.73668670654297,267.25472259521484
267.21143341064453,420.4245071411133,664.3220138549805,475.8525581359863,465.72655487060547,347.60742950439453,92.35047149658203,380.73668670654297,267.25472259521484
266.21143341064453,420.4245071411133,666.3220138549805,475.8525581359863,465.72655487060547,347.60742950439453,92.35047149658203,380.73668670654297,266.25472259521484
266.21143341064453,421.4245071411133,666.3220138549805,476.8525581359863,465.72655487060547,347.60742950439453,92.35047149658203,379.73668670654297,268.25472259521484
266.4178886413574,419.69286727905273,666.6071014404297,476.08901596069336,465.9980697631836,348.87867736816406,92.59457397460938,381.0371551513672,266.57637786865234
267.21143341064453,419.4245071411133,666.3220138549805,475.8525581359863,465.72655487060547,347.60742950439453,92.35047149658203,379.73668670654297,268.25472259521484
266.21143341064453,419.4245071411133,664.3220138549805,476.8525581359863,465.72655487060547,347.60742950439453,92.35047149658203,381.73668670654297,268.25472259521484
268.4178886413574,420.69286727905273,665.6071014404297,476.08901596069336,465.9980697631836,347.87867736816406,91.59457397460938,380.0371551513672,266.57637786865234
266.21143341064453,421.4245071411133,666.3220138549805,475.8525581359863,465.72655487060547,349.60742950439453,92.35047149658203,380.73668670654297,267.25472259521484
3.965545654296875,90.84805297851562,232.62515258789062,133.48907470703125,33.59283447265625,83.13223266601562,-144.42266845703125,13.068572998046875,-92.69894409179688
267.2437057495117,421.7625961303711,667.7474517822266,478.034854888916,467.0841293334961,347.9636459350586,93.57101058959961,382.2390365600586,268.85486602783203
269.0372505187988,421.49566650390625,665.4623641967773,476.79838943481445,466.81260681152344,350.69239807128906,92.32690048217773,381.93856048583984,267.5355529785156
268.0372505187988,422.49566650390625,665.4623641967773,476.79838943481445,466.81260681152344,347.69239807128906,93.32690048217773,380.93856048583984,268.5355529785156
267.2437057495117,421.7625961303711,665.7474517822266,477.034854888916,467.0841293334961,348.9636459350586,92.57101058959961,381.2390365600586,267.85486602783203
267.2437057495117,421.7625961303711,667.7474517822266,478.034854888916,467.0841293334961,347.9636459350586,93.57101058959961,382.2390365600586,266.85486602783203
269.2437057495117,422.7625961303711,665.7474517822266,478.034854888916,467.0841293334961,348.9636459350586,93.57101058959961,381.2390365600586,268.85486602783203
268.2437057495117,422.7625961303711,666.7474517822266,476.034854888916,466.0841293334961,347.9636459350586,91.57101058959961,382.2390365600586,268.85486602783203
267.2437057495117,421.7625961303711,667.7474517822266,478.034854888916,467.0841293334961,348.9636459350586,93.57101058959961,383.2390365600586,268.85486602783203
267.2437057495117,421.7625961303711,666.7474517822266,478.034854888916,466.0841293334961,348.9636459350586,92.57101058959961,381.2390365600586,267.85486602783203
267.2437057495117,421.7625961303711,668.7474517822266,478.034854888916,467.0841293334961,347.9636459350586,93.57101058959961,382.2390365600586,267.85486602783203
268.2437057495117,423.7625961303711,667.7474517822266,477.034854888916,467.0841293334961,347.9636459350586,93.57101058959961,382.2390365600586,268.85486602783203
267.2437057495117,421.7625961303711,665.7474517822266,477.034854888916,467.0841293334961,348.9636459350586,93.57101058959961,381.2390365600586,268.85486602783203
268.4501609802246,423.02953338623047,669.0325393676758,477.27131271362305,466.3556442260742,347.2348937988281,92.81511688232422,383.53951263427734,269.17418670654297
268.0695266723633,421.830322265625,667.887809753418,478.9806900024414,467.1701889038086,350.04862213134766,94.54744720458984,383.44092559814453,270.1321334838867
267.0695266723633,423.830322265625,667.887809753418,477.9806900024414,467.1701889038086,350.04862213134766,94.54744720458984,384.44092559814453,268.1321334838867
