yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-10-04 13:27:02,449,742,690,396,900,735,753,674,777,32.50,84130.26,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,395,900,731,751,673,777,32.50,84130.26,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,395,900,734,753,674,777,32.50,84139.98,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,742,690,395,900,735,753,674,778,32.50,84139.98,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,395,900,734,753,673,777,32.51,84154.24,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,395,900,735,753,674,778,32.51,84154.24,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,742,690,395,900,735,752,674,777,32.50,84153.52,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,395,900,735,753,674,778,32.50,84153.52,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,742,690,395,900,735,753,674,777,32.50,84148.82,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,742,690,395,900,734,753,674,777,32.50,84148.82,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,395,900,734,753,674,777,32.51,84108.39,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,395,900,735,753,674,777,32.51,84108.39,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,395,900,735,752,674,777,32.51,84116.21,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,742,690,395,900,735,753,674,778,32.51,84116.21,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,396,901,735,753,674,777,32.50,84151.25,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,395,900,735,752,675,777,32.50,84151.25,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,396,900,735,753,675,778,32.50,84130.77,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,742,690,395,900,734,752,675,778,32.50,84130.77,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,396,900,735,753,675,777,32.50,84134.25,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:02,449,743,690,395,900,735,753,675,777,32.50,84134.25,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:03,449,743,690,396,900,735,753,675,777,32.51,84151.80,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:03,449,743,690,395,901,735,754,675,778,32.51,84151.80,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:03,449,743,691,396,900,735,752,675,777,32.51,84107.00,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:03,449,743,690,395,900,735,753,675,778,32.51,84107.00,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:03,449,742,690,395,900,736,753,676,778,32.51,84116.21,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:03,449,743,690,396,900,735,753,676,777,32.51,84116.21,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:03,449,743,690,396,900,735,753,676,778,32.51,84112.90,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:03,449,743,690,395,900,735,753,676,777,32.51,84112.90,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:03,449,743,690,396,900,735,754,676,778,32.51,84169.69,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:03,449,743,690,396,900,735,754,676,778,32.51,84169.69,35.00,81.00,sophie_0410_r2
2024-10-04 13:27:03,449,743,690,395,900,735,753,676,777,32.51,84161.16,35.00,81.00,sophie_0410_r2
