MQ135,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Target
615.5952224731445,653.4394035339355,901.4003677368164,688.8248481750488,730.7188949584961,503.4271469116211,272.51525115966797,625.4453315734863,628.4341812133789,BlackTie2509(20degEnvTemp)
614.6037864685059,653.4555511474609,902.4102821350098,685.8364944458008,730.7338409423828,505.44263458251953,273.52492904663086,627.4542388916016,627.4500885009766,BlackTie2509(20degEnvTemp)
616.6123504638672,654.4716987609863,900.4201965332031,685.8481483459473,730.748779296875,504.45812606811523,272.53460693359375,626.4631385803223,630.4660034179688,BlackTie2509(20degEnvTemp)
613.6123504638672,653.4716987609863,901.4201965332031,687.8481483459473,731.748779296875,505.45812606811523,272.53460693359375,627.4631385803223,628.4660034179688,BlackTie2509(20degEnvTemp)
616.6209106445312,656.4878463745117,901.4301147460938,686.8597946166992,733.7637252807617,505.4736213684082,271.5442810058594,629.4720458984375,629.4819183349609,BlackTie2509(20degEnvTemp)
616.6209106445312,654.4878463745117,901.4301147460938,688.8597946166992,731.7637252807617,505.4736213684082,273.5442810058594,627.4720458984375,630.4819183349609,BlackTie2509(20degEnvTemp)
616.6209106445312,656.4878463745117,904.4301147460938,685.8597946166992,732.7637252807617,506.4736213684082,273.5442810058594,626.4720458984375,627.4819183349609,BlackTie2509(20degEnvTemp)
616.6209106445312,655.4878463745117,903.4301147460938,687.8597946166992,731.7637252807617,504.4736213684082,274.5442810058594,628.4720458984375,629.4819183349609,BlackTie2509(20degEnvTemp)
616.6209106445312,655.4878463745117,902.4301147460938,685.8597946166992,732.7637252807617,506.4736213684082,272.5442810058594,627.4720458984375,628.4819183349609,BlackTie2509(20degEnvTemp)
615.6209106445312,655.4878463745117,904.4301147460938,685.8597946166992,731.7637252807617,506.4736213684082,273.5442810058594,627.4720458984375,629.4819183349609,BlackTie2509(20degEnvTemp)
618.6123504638672,655.4716987609863,901.4201965332031,687.8481483459473,730.748779296875,505.45812606811523,272.53460693359375,629.4631385803223,631.4660034179688,BlackTie2509(20degEnvTemp)
615.6209106445312,655.4878463745117,904.4301147460938,687.8597946166992,730.7637252807617,503.4736213684082,275.5442810058594,629.4720458984375,631.4819183349609,BlackTie2509(20degEnvTemp)
